generic_name,usp_category,usp_category_code,notes
Tofacitinib Citrate,Immunologic Agents,IMM,JAK inhibitor
Tolvaptan,Metabolic/Endocrine,MET,Vasopressin receptor antagonist
Trametinib Dimethyl Sulfoxide,Antineoplastics,ONC,MEK inhibitor
Tucatinib,Antineoplastics,ONC,HER2 inhibitor
Upadacitinib,Immunologic Agents,IMM,JAK1 inhibitor
Ustekinumab,Immunologic Agents,IMM,IL-12/23 inhibitor
Vandetanib,Antineoplastics,ONC,RET/VEGFR inhibitor
Vemurafenib,Antineoplastics,ONC,BRAF inhibitor
Venetoclax,Antineoplastics,ONC,BCL-2 inhibitor
Vismodegib,Antineoplastics,ONC,Hedgehog pathway inhibitor
