LISTING_ID,ZIP_CODE,NEIGHBORHOOD,PROPERTY_TYPE,BEDROOMS,BATHROOMS,SQFT,LIST_PRICE,SALE_PRICE,PRICE_PER_SQFT,DAYS_ON_MARKET,LIST_DATE,STATUS,AGENT_ID
DEN-00056,80203,Capitol Hill,Multi-Family,3,4,781,468000,479212,599.23,17,2024-01-22,Sold,AGT-033
DEN-00057,80206,Cherry Creek,Condo,3,2,1241,1025000,1056352,825.95,4,2024-01-20,Sold,AGT-043
DEN-00058,80209,Washington Park,Condo,4,2,817,779000,758323,953.49,12,2024-12-24,Sold,AGT-050
DEN-00059,80202,Downtown,Single Family,4,3,743,714000,736818,960.97,5,2024-04-03,Sold,AGT-045
DEN-00060,80218,Congress Park,Single Family,4,1,930,636000,629196,683.87,16,2024-06-23,Sold,AGT-049
DEN-00061,80205,Five Points,Townhouse,3,2,903,621000,632354,687.71,21,2024-04-09,Sold,AGT-019
DEN-00062,80203,Capitol Hill,Condo,4,2,779,413000,,530.17,22,2024-09-05,Active,AGT-023
DEN-00063,80218,Congress Park,Single Family,4,4,1128,605000,626337,536.35,13,2024-05-28,Sold,AGT-018
DEN-00064,80206,Cherry Creek,Condo,4,2,1266,1053000,,831.75,9,2024-10-26,Active,AGT-001
DEN-00065,80218,Congress Park,Townhouse,5,2,818,629000,610487,768.95,4,2024-07-10,Sold,AGT-024
DEN-00066,80210,University,Single Family,2,4,959,692000,679589,721.58,4,2024-02-27,Sold,AGT-049
DEN-00067,80206,Cherry Creek,Townhouse,4,2,911,804000,825450,882.55,18,2024-10-09,Sold,AGT-032
DEN-00068,80218,Congress Park,Single Family,5,1,846,525000,,620.57,13,2024-09-03,Active,AGT-027
DEN-00069,80209,Washington Park,Condo,3,2,1089,733000,765242,673.09,5,2024-10-29,Sold,AGT-014
DEN-00070,80220,Montclair,Condo,4,3,761,513000,517025,674.11,27,2024-12-31,Sold,AGT-016
DEN-00071,80203,Capitol Hill,Multi-Family,4,2,718,483000,497544,672.7,16,2024-04-30,Sold,AGT-007
DEN-00072,80220,Montclair,Single Family,2,3,765,535000,,699.35,18,2024-01-19,Active,AGT-017
DEN-00073,80209,Washington Park,Single Family,5,1,1036,704000,723267,679.54,7,2024-10-31,Sold,AGT-035
DEN-00074,80209,Washington Park,Condo,3,2,769,812000,,1055.92,15,2024-11-24,Active,AGT-022
DEN-00075,80204,West Colfax,Single Family,4,2,867,414000,434557,477.51,27,2024-08-12,Sold,AGT-010
DEN-00076,80210,University,Townhouse,3,3,846,657000,658283,776.6,9,2024-10-06,Sold,AGT-004
DEN-00077,80220,Montclair,Condo,4,2,866,584000,612629,674.36,22,2024-04-12,Sold,AGT-018
DEN-00078,80206,Cherry Creek,Townhouse,3,2,1095,869000,904312,793.61,7,2024-07-06,Sold,AGT-044
DEN-00079,80207,Park Hill,Condo,2,2,950,515000,515775,542.11,8,2024-09-03,Sold,AGT-016
DEN-00080,80207,Park Hill,Single Family,5,2,750,511000,527573,681.33,20,2024-05-17,Sold,AGT-021
DEN-00081,80204,West Colfax,Townhouse,3,3,824,430000,,521.84,18,2024-07-23,Active,AGT-028
DEN-00082,80220,Montclair,Single Family,3,4,806,402000,,498.76,24,2024-07-17,Active,AGT-017
DEN-00083,80206,Cherry Creek,Single Family,2,2,1065,866000,877967,813.15,10,2024-10-13,Sold,AGT-002
DEN-00084,80206,Cherry Creek,Multi-Family,3,3,1100,982000,,892.73,18,2024-07-10,Active,AGT-043
DEN-00085,80206,Cherry Creek,Multi-Family,5,4,1037,928000,,894.89,6,2024-10-01,Active,AGT-049
DEN-00086,80204,West Colfax,Condo,5,3,972,325000,323180,334.36,24,2024-09-14,Sold,AGT-003
DEN-00087,80209,Washington Park,Townhouse,3,3,743,559000,566232,752.36,5,2024-02-27,Sold,AGT-010
DEN-00088,80206,Cherry Creek,Single Family,4,4,1081,1002000,993051,926.92,10,2024-01-15,Sold,AGT-049
DEN-00089,80207,Park Hill,Condo,3,2,598,499000,522770,834.45,19,2024-02-02,Sold,AGT-023
DEN-00090,80209,Washington Park,Single Family,5,1,761,570000,,749.01,10,2024-07-30,Active,AGT-003
DEN-00091,80202,Downtown,Single Family,2,4,1146,769000,,671.03,13,2024-07-25,Active,AGT-031
DEN-00092,80207,Park Hill,Single Family,3,2,973,421000,409093,432.68,21,2024-04-03,Sold,AGT-039
DEN-00093,80204,West Colfax,Multi-Family,3,3,606,467000,,770.63,19,2024-11-02,Active,AGT-036
DEN-00094,80218,Congress Park,Multi-Family,2,2,673,578000,606623,858.84,21,2024-02-15,Sold,AGT-015
DEN-00095,80209,Washington Park,Townhouse,5,2,833,771000,,925.57,1,2024-05-03,Active,AGT-001
DEN-00096,80202,Downtown,Single Family,3,2,1089,630000,,578.51,10,2024-12-23,Active,AGT-031
DEN-00097,80203,Capitol Hill,Single Family,3,1,636,562000,588723,883.65,18,2024-08-10,Sold,AGT-008
DEN-00098,80205,Five Points,Multi-Family,3,2,832,468000,473510,562.5,17,2024-05-24,Sold,AGT-016
DEN-00099,80210,University,Single Family,2,2,884,559000,,632.35,24,2024-11-05,Active,AGT-021
DEN-00100,80209,Washington Park,Single Family,5,4,960,797000,801981,830.21,5,2024-05-13,Sold,AGT-031
DEN-00101,80210,University,Condo,2,3,756,586000,583213,775.13,5,2024-02-28,Sold,AGT-033
DEN-00102,80207,Park Hill,Single Family,3,3,600,566000,,943.33,14,2024-05-02,Active,AGT-006
DEN-00103,80202,Downtown,Condo,3,1,876,847000,,966.89,6,2024-02-26,Active,AGT-048
DEN-00104,80220,Montclair,Single Family,2,2,659,490000,513425,743.55,17,2024-08-21,Sold,AGT-044
DEN-00105,80202,Downtown,Single Family,4,2,983,717000,741677,729.4,1,2024-06-25,Sold,AGT-021
DEN-00106,80207,Park Hill,Single Family,3,2,697,508000,518840,728.84,21,2024-08-12,Sold,AGT-035
DEN-00107,80220,Montclair,Single Family,2,3,735,536000,556619,729.25,23,2024-07-02,Sold,AGT-007
DEN-00108,80218,Congress Park,Multi-Family,2,1,726,536000,557744,738.29,13,2024-04-03,Sold,AGT-026
DEN-00109,80202,Downtown,Condo,2,4,760,533000,553786,701.32,14,2024-03-20,Sold,AGT-011
DEN-00110,80207,Park Hill,Single Family,4,1,913,507000,496173,555.31,27,2024-07-08,Sold,AGT-017
DEN-00111,80202,Downtown,Condo,4,4,1120,783000,775860,699.11,21,2024-08-08,Sold,AGT-014
DEN-00112,80220,Montclair,Single Family,3,2,907,473000,,521.5,24,2024-03-13,Active,AGT-009
DEN-00113,80206,Cherry Creek,Condo,2,2,1055,793000,810264,751.66,12,2024-04-30,Sold,AGT-042
DEN-00114,80203,Capitol Hill,Single Family,2,2,634,514000,,810.73,21,2024-09-28,Active,AGT-018
DEN-00115,80207,Park Hill,Condo,3,1,618,507000,530992,820.39,20,2024-12-08,Sold,AGT-011
DEN-00116,80218,Congress Park,Single Family,5,3,663,557000,,840.12,15,2024-12-25,Active,AGT-026
DEN-00117,80206,Cherry Creek,Condo,4,2,977,1018000,1066649,1041.97,10,2024-10-02,Sold,AGT-024
DEN-00118,80206,Cherry Creek,Single Family,3,3,1049,774000,759799,737.85,11,2024-06-02,Sold,AGT-027
DEN-00119,80207,Park Hill,Condo,4,2,872,515000,520387,590.6,19,2024-09-18,Sold,AGT-030
DEN-00120,80210,University,Townhouse,3,3,963,607000,,630.32,12,2024-06-04,Active,AGT-030
DEN-00121,80205,Five Points,Townhouse,2,3,474,559000,567549,1179.32,24,2024-01-07,Sold,AGT-048
DEN-00122,80203,Capitol Hill,Condo,2,2,832,377000,394172,453.12,10,2024-08-01,Sold,AGT-011
DEN-00123,80218,Congress Park,Condo,4,4,848,789000,,930.42,23,2024-10-10,Active,AGT-001
DEN-00124,80220,Montclair,Condo,4,3,888,448000,,504.5,21,2024-07-08,Active,AGT-001
DEN-00125,80207,Park Hill,Single Family,3,1,635,568000,576779,894.49,16,2024-08-07,Sold,AGT-050
DEN-00126,80210,University,Single Family,5,3,894,553000,549621,618.57,20,2024-03-10,Sold,AGT-001
DEN-00127,80205,Five Points,Single Family,4,3,949,565000,567601,595.36,25,2024-06-25,Sold,AGT-005
DEN-00128,80205,Five Points,Multi-Family,4,3,659,456000,450878,691.96,18,2024-11-25,Sold,AGT-001
DEN-00129,80204,West Colfax,Single Family,5,2,683,422000,,617.86,20,2024-03-21,Active,AGT-009
DEN-00130,80210,University,Single Family,4,4,1065,616000,622339,578.4,16,2024-09-06,Sold,AGT-047
DEN-00131,80203,Capitol Hill,Condo,4,3,828,529000,,638.89,14,2024-05-12,Active,AGT-035
DEN-00132,80205,Five Points,Multi-Family,5,1,897,534000,533599,595.32,18,2024-05-29,Sold,AGT-045
DEN-00133,80220,Montclair,Condo,4,2,794,495000,,623.43,20,2024-10-31,Active,AGT-010
DEN-00134,80203,Capitol Hill,Condo,3,2,1023,496000,496213,484.85,16,2024-06-27,Sold,AGT-027
DEN-00135,80206,Cherry Creek,Condo,3,1,990,729000,728725,736.36,15,2024-03-21,Sold,AGT-018
DEN-00136,80204,West Colfax,Single Family,2,2,731,470000,483176,642.95,18,2024-07-16,Sold,AGT-023
DEN-00137,80209,Washington Park,Condo,4,4,983,620000,,630.72,1,2024-09-05,Active,AGT-007
DEN-00138,80204,West Colfax,Single Family,2,4,720,448000,438934,622.22,15,2024-04-16,Sold,AGT-029
DEN-00139,80202,Downtown,Condo,3,3,887,752000,752661,847.8,9,2024-03-08,Sold,AGT-016
DEN-00140,80203,Capitol Hill,Single Family,3,3,682,403000,,590.91,19,2024-10-09,Active,AGT-003
DEN-00141,80205,Five Points,Condo,3,2,843,430000,443787,510.08,18,2024-10-23,Sold,AGT-048
DEN-00142,80218,Congress Park,Townhouse,5,3,877,511000,524015,582.67,16,2024-04-11,Sold,AGT-022
DEN-00143,80210,University,Single Family,3,3,992,1462004.9245875373,1495207,1473.8,16,2024-01-10,Sold,AGT-035
DEN-00144,80209,Washington Park,Condo,3,2,1041,677000,707592,650.34,7,2024-01-04,Sold,AGT-007
DEN-00145,80204,West Colfax,Single Family,2,2,777,414000,,532.82,18,2024-12-19,Active,AGT-036
DEN-00146,80204,West Colfax,Condo,4,2,989,402000,421164,406.47,27,2024-11-02,Sold,AGT-049
DEN-00147,80204,West Colfax,Condo,5,2,685,406000,408389,592.7,21,2024-11-03,Sold,AGT-011
DEN-00148,80210,University,Condo,3,1,817,633000,651747,774.79,15,2024-09-09,Sold,AGT-028
DEN-00149,80206,Cherry Creek,Condo,3,2,1171,1040000,,888.13,9,2024-09-13,Active,AGT-015
DEN-00150,80209,Washington Park,Single Family,3,3,794,668000,659011,841.31,12,2024-10-04,Sold,AGT-048
DEN-00151,80218,Congress Park,Single Family,4,1,645,477000,,739.53,25,2024-02-02,Active,AGT-048
DEN-00152,80207,Park Hill,Single Family,3,2,790,1111354.9464014557,1144550,1406.78,26,2024-06-10,Sold,AGT-014
DEN-00153,80209,Washington Park,Condo,3,2,559,649000,,1161.0,4,2024-06-19,Active,AGT-003
DEN-00154,80209,Washington Park,Single Family,5,3,865,683000,679476,789.6,1,2024-11-15,Sold,AGT-028
DEN-00155,80205,Five Points,Single Family,3,3,762,526000,,690.29,22,2024-09-16,Active,AGT-030
DEN-00156,80210,University,Single Family,3,2,798,576000,587857,721.8,16,2024-09-13,Sold,AGT-019
DEN-00157,80202,Downtown,Condo,3,3,1046,743000,,710.33,18,2024-12-15,Active,AGT-012
DEN-00158,80207,Park Hill,Single Family,4,1,552,538000,546532,974.64,8,2024-09-17,Sold,AGT-032
DEN-00159,80210,University,Condo,3,1,699,627000,,897.0,10,2024-08-29,Active,AGT-007
DEN-00160,80207,Park Hill,Condo,4,2,658,494000,506549,750.76,11,2024-12-13,Sold,AGT-002
DEN-00161,80205,Five Points,Single Family,3,2,841,547000,,650.42,25,2024-11-21,Active,AGT-019
DEN-00162,80205,Five Points,Townhouse,5,2,824,514000,515718,623.79,19,2024-07-02,Sold,AGT-043
DEN-00163,80206,Cherry Creek,Single Family,4,2,938,730000,737835,778.25,11,2024-04-09,Sold,AGT-011
DEN-00164,80205,Five Points,Townhouse,3,2,828,495000,516953,597.83,9,2024-02-05,Sold,AGT-022
DEN-00165,80218,Congress Park,Townhouse,3,3,782,660000,647317,843.99,14,2024-06-27,Sold,AGT-023
DEN-00166,80203,Capitol Hill,Townhouse,4,3,786,431000,432756,548.35,16,2024-12-20,Sold,AGT-005
DEN-00167,80210,University,Single Family,3,3,930,670000,690392,720.43,8,2024-05-27,Sold,AGT-003
DEN-00168,80207,Park Hill,Single Family,5,2,615,440000,448858,715.45,16,2024-08-29,Sold,AGT-045
DEN-00169,80202,Downtown,Condo,3,2,1179,782000,,663.27,11,2024-05-12,Active,AGT-050
DEN-00170,80220,Montclair,Condo,4,3,619,817423.1188125995,833297,1320.55,16,2024-03-02,Sold,AGT-039
DEN-00171,80204,West Colfax,Condo,3,2,555,410000,401484,738.74,24,2024-07-07,Sold,AGT-033
DEN-00172,80210,University,Townhouse,3,2,898,667000,,742.76,22,2024-02-01,Active,AGT-004
DEN-00173,80202,Downtown,Single Family,3,4,1031,775000,763431,751.7,8,2024-08-26,Sold,AGT-038
DEN-00174,80210,University,Townhouse,5,3,786,636000,,809.16,5,2024-05-06,Active,AGT-035
DEN-00175,80207,Park Hill,Single Family,2,3,815,632000,,775.46,16,2024-03-08,Active,AGT-044
DEN-00176,80203,Capitol Hill,Condo,5,2,692,448000,454553,647.4,24,2024-08-11,Sold,AGT-040
DEN-00177,80207,Park Hill,Townhouse,2,1,1109,344000,344204,310.19,13,2024-11-17,Sold,AGT-038
DEN-00178,80202,Downtown,Condo,3,2,1083,710000,742514,655.59,10,2024-02-22,Sold,AGT-015
DEN-00179,80206,Cherry Creek,Condo,3,2,1090,881000,,808.26,9,2024-02-25,Active,AGT-022
DEN-00180,80205,Five Points,Condo,3,2,747,624000,,835.34,23,2024-05-12,Active,AGT-005
DEN-00181,80207,Park Hill,Single Family,4,2,699,464000,475684,663.81,21,2024-10-16,Sold,AGT-006
DEN-00182,80210,University,Single Family,5,3,890,658000,677240,739.33,9,2024-08-18,Sold,AGT-004
DEN-00183,80205,Five Points,Condo,5,1,610,461000,454369,755.74,10,2024-12-15,Sold,AGT-002
DEN-00184,80209,Washington Park,Condo,4,3,1059,863000,900691,814.92,19,2024-07-02,Sold,AGT-014
DEN-00185,80210,University,Single Family,3,1,760,692000,,910.53,10,2024-12-22,Active,AGT-030
DEN-00186,80205,Five Points,Single Family,3,4,728,516000,509025,708.79,22,2024-08-07,Sold,AGT-011
DEN-00187,80218,Congress Park,Condo,4,2,864,654000,653879,756.94,15,2024-12-30,Sold,AGT-035
DEN-00188,80220,Montclair,Condo,3,3,881,436000,452891,494.89,15,2024-09-20,Sold,AGT-006
DEN-00189,80202,Downtown,Townhouse,2,2,740,569000,560979,768.92,14,2024-11-17,Sold,AGT-027
DEN-00190,80209,Washington Park,Single Family,5,2,1002,847000,835039,845.31,6,2024-10-07,Sold,AGT-003
DEN-00191,80205,Five Points,Single Family,4,3,835,420000,435801,502.99,11,2024-07-25,Sold,AGT-034
DEN-00192,80205,Five Points,Single Family,3,2,633,813706.2470297031,805409,1285.48,17,2024-06-23,Sold,AGT-018
DEN-00193,80210,University,Townhouse,3,1,747,687000,,919.68,1,2024-03-14,Active,AGT-017
DEN-00194,80210,University,Townhouse,5,2,1088,533000,536395,489.89,6,2024-02-27,Sold,AGT-002
DEN-00195,80202,Downtown,Townhouse,3,3,991,663000,673953,669.02,14,2024-07-08,Sold,AGT-029
DEN-00196,80220,Montclair,Multi-Family,2,2,1046,502000,,479.92,20,2024-07-01,Active,AGT-007
DEN-00197,80203,Capitol Hill,Single Family,3,4,913,534000,532170,584.88,21,2024-01-08,Sold,AGT-005
DEN-00198,80207,Park Hill,Condo,2,2,580,500000,,862.07,22,2024-11-16,Active,AGT-017
DEN-00199,80203,Capitol Hill,Condo,3,2,459,890541.215804609,,1940.18,16,2024-11-22,Active,AGT-015
DEN-00200,80202,Downtown,Single Family,4,2,1037,757000,,729.99,5,2024-05-16,Active,AGT-027
DEN-00201,80202,Downtown,Single Family,2,2,1195,791000,783945,661.92,14,2024-10-11,Sold,AGT-050
DEN-00202,80220,Montclair,Multi-Family,4,1,1039,448000,465919,431.18,7,2024-10-02,Sold,AGT-033
DEN-00203,80207,Park Hill,Multi-Family,2,1,702,485000,483004,690.88,5,2024-05-24,Sold,AGT-003
DEN-00204,80210,University,Condo,5,4,788,684000,,868.02,13,2024-04-25,Active,AGT-042
DEN-00205,80205,Five Points,Single Family,2,4,771,468000,488899,607.0,6,2024-08-24,Sold,AGT-012
DEN-00206,80210,University,Single Family,4,2,960,638000,647943,664.58,16,2024-03-14,Sold,AGT-037
DEN-00207,80205,Five Points,Single Family,3,2,781,565000,,723.43,28,2024-10-21,Active,AGT-022
DEN-00208,80210,University,Single Family,3,2,1051,469000,,446.24,13,2024-12-03,Active,AGT-029
DEN-00209,80210,University,Single Family,5,3,898,498000,502589,554.57,15,2024-11-05,Sold,AGT-025
DEN-00210,80209,Washington Park,Single Family,3,2,1050,660000,,628.57,12,2024-08-08,Active,AGT-037
DEN-00211,80202,Downtown,Condo,3,3,1042,663000,,636.28,17,2024-08-24,Active,AGT-017
DEN-00212,80220,Montclair,Multi-Family,5,2,730,542000,559769,742.47,1,2024-01-25,Sold,AGT-026
DEN-00213,80203,Capitol Hill,Multi-Family,2,1,945,500000,491920,529.1,19,2024-10-03,Sold,AGT-011
DEN-00214,80202,Downtown,Condo,4,1,906,622000,632794,686.53,21,2024-06-05,Sold,AGT-039
DEN-00215,80210,University,Single Family,4,4,663,662000,,998.49,22,2024-10-17,Active,AGT-036
DEN-00216,80204,West Colfax,Single Family,3,2,680,471000,470737,692.65,23,2024-10-25,Sold,AGT-009
DEN-00217,80203,Capitol Hill,Condo,3,1,870,476000,478868,547.13,20,2024-03-23,Sold,AGT-042
DEN-00218,80210,University,Single Family,5,2,753,516000,503805,685.26,10,2024-03-22,Sold,AGT-030
DEN-00219,80203,Capitol Hill,Townhouse,3,2,958,333000,345070,347.6,14,2024-10-26,Sold,AGT-021
DEN-00220,80202,Downtown,Condo,5,2,984,668000,667243,678.86,18,2024-10-13,Sold,AGT-041
DEN-00221,80206,Cherry Creek,Single Family,3,3,1346,832000,,618.13,17,2024-05-23,Active,AGT-002
DEN-00222,80206,Cherry Creek,Single Family,2,2,949,958000,943055,1009.48,3,2024-07-04,Sold,AGT-013
DEN-00223,80218,Congress Park,Condo,5,3,831,621000,634353,747.29,16,2024-08-13,Sold,AGT-046
DEN-00224,80206,Cherry Creek,Townhouse,3,3,995,989000,,993.97,2,2024-07-09,Active,AGT-041
DEN-00225,80210,University,Condo,5,1,754,583000,608373,773.21,18,2024-02-21,Sold,AGT-006
DEN-00226,80204,West Colfax,Condo,3,3,624,796859.6169978438,796004,1277.02,9,2024-03-13,Sold,AGT-037
DEN-00227,80203,Capitol Hill,Single Family,2,1,850,379000,393655,445.88,12,2024-11-03,Sold,AGT-002
DEN-00228,80202,Downtown,Townhouse,4,3,1009,743000,763303,736.37,18,2024-12-12,Sold,AGT-007
DEN-00229,80204,West Colfax,Single Family,5,3,1029,428000,,415.94,20,2024-11-18,Active,AGT-046
DEN-00230,80220,Montclair,Condo,3,2,614,482000,,785.02,11,2024-09-12,Active,AGT-031
DEN-00231,80206,Cherry Creek,Single Family,3,2,1077,795000,825588,738.16,12,2024-11-05,Sold,AGT-038
DEN-00232,80204,West Colfax,Single Family,4,3,539,290000,284681,538.03,28,2024-06-14,Sold,AGT-039
DEN-00233,80207,Park Hill,Single Family,4,1,932,559000,571509,599.79,21,2024-05-08,Sold,AGT-041
DEN-00234,80202,Downtown,Townhouse,2,2,907,635000,,700.11,1,2024-05-09,Active,AGT-028
DEN-00235,80204,West Colfax,Condo,4,2,590,435000,424160,737.29,20,2024-10-02,Sold,AGT-017
DEN-00236,80218,Congress Park,Condo,4,4,952,547000,552812,574.58,13,2024-07-19,Sold,AGT-009
DEN-00237,80209,Washington Park,Single Family,5,2,938,665000,691027,708.96,23,2024-10-04,Sold,AGT-002
DEN-00238,80220,Montclair,Townhouse,3,4,885,470000,462378,531.07,5,2024-10-05,Sold,AGT-021
DEN-00239,80203,Capitol Hill,Single Family,3,3,971,420000,432047,432.54,20,2024-12-31,Sold,AGT-046
DEN-00240,80207,Park Hill,Townhouse,2,1,782,424000,434742,542.2,13,2024-06-03,Sold,AGT-017
DEN-00241,80202,Downtown,Condo,4,3,730,614000,619706,841.1,22,2024-03-31,Sold,AGT-031
DEN-00242,80218,Congress Park,Condo,3,4,935,921223.7420570177,910568,985.27,13,2024-03-11,Sold,AGT-029
DEN-00243,80206,Cherry Creek,Townhouse,5,3,1178,794000,,674.02,17,2024-06-24,Active,AGT-033
DEN-00244,80204,West Colfax,Condo,3,2,742,411000,415532,553.91,26,2024-12-24,Sold,AGT-018
DEN-00245,80202,Downtown,Condo,3,1,866,792000,,914.55,15,2024-10-09,Active,AGT-029
DEN-00246,80202,Downtown,Townhouse,5,3,1148,578000,,503.48,13,2024-02-15,Active,AGT-018
DEN-00247,80204,West Colfax,Condo,3,3,719,323000,336625,449.24,18,2024-02-19,Sold,AGT-006
DEN-00248,80203,Capitol Hill,Single Family,5,2,614,555000,555685,903.91,16,2024-08-31,Sold,AGT-034
