account_id,plan_tier,industry,segment,region,customer_success_manager,signup_date,last_login_date,licensed_seats,active_users,support_tickets_90d,nps,renewal_month,payment_status,feature_adoption_rate,annual_recurring_revenue,seat_utilization,churn_risk,expansion_opportunity,notes
ACC0028271,Enterprise,Media,Enterprise,North America,Diego,2023-08-12 00:00:00,2024-03-10 00:00:00,336,145,1,8,1,Late,0.939,1774.0,0.432,High,No,security risk renewal security training pilot procurement procurement security integration
ACC0033540,Pro,Healthcare,SMB,APAC,Elena,2022-11-27 00:00:00,2023-11-22 00:00:00,343,348,2,57,2,Current,0.314,1299.0,1.0,Low,No,risk security security training invoice
ACC0036838,Growth,Education,SMB,North America,Priya,2024-01-28 00:00:00,2025-01-17 00:00:00,334,178,1,0,6,Current,0.959,4219.0,0.533,Low,No,seat-expansion procurement risk seat-expansion seat-expansion training risk
ACC0019865,Starter,Finance,SMB,North America,Priya,2023-03-09 00:00:00,2023-07-21 00:00:00,328,161,3,50,5,Current,0.389,1450.0,0.491,Low,No,invoice security security risk renewal seat-expansion
ACC0025045,Starter,Media,SMB,EMEA,Diego,2023-12-20 00:00:00,2024-09-13 00:00:00,297,72,2,-12,6,Current,0.928,686.0,0.242,High,No,integration integration procurement pilot security invoice renewal seat-expansion seat-expansion pilot risk
ACC0036914,Pro,Finance,SMB,North America,Priya,2023-10-06 00:00:00,2023-10-26 00:00:00,78,31,4,40,8,Current,0.543,1124.0,0.397,Low,No,security risk integration integration procurement invoice training security procurement training renewal risk
ACC0020403,Starter,Finance,Mid-Market,North America,Hannah,2022-01-16 00:00:00,2022-05-30 00:00:00,488,30,4,11,1,Current,0.696,7917.0,0.061,Low,No,pilot seat-expansion training security training security invoice seat-expansion risk renewal
ACC0031338,Starter,Education,Mid-Market,North America,Priya,2022-01-09 00:00:00,2022-03-28 00:00:00,236,131,3,81,1,Current,0.711,4856.0,0.555,Low,Yes,security procurement seat-expansion training integration renewal training
ACC0023699,Enterprise,Media,Mid-Market,APAC,Elena,2024-04-23 00:00:00,2024-12-09 00:00:00,360,72,1,-10,8,Current,0.339,3622.0,0.2,Medium,No,renewal procurement training invoice procurement pilot invoice integration pilot
ACC0006731,Growth,Manufacturing,SMB,North America,Elena,2023-08-08 00:00:00,2023-08-27 00:00:00,299,219,4,-18,5,Current,0.42,2947.0,0.732,High,No,risk invoice integration procurement security training integration procurement security procurement
ACC0007503,Pro,Retail,Mid-Market,EMEA,Marcus,2022-08-17 00:00:00,2023-02-27 00:00:00,181,41,1,60,2,Current,0.188,1097.0,0.227,Medium,No,integration risk seat-expansion pilot security renewal invoice training procurement
ACC0033633,Growth,Finance,Enterprise,North America,Priya,2023-08-15 00:00:00,2023-12-30 00:00:00,213,58,3,1,1,Current,0.083,4978.0,0.272,Medium,No,renewal pilot risk security training integration security training security training
ACC0024640,Starter,Media,SMB,North America,Grace,2024-01-04 00:00:00,2024-04-30 00:00:00,240,252,1,61,9,Current,0.081,2614.0,1.0,High,No,procurement seat-expansion integration integration invoice
ACC0020822,Starter,Education,SMB,APAC,Diego,2024-01-29 00:00:00,2024-11-26 00:00:00,126,226,2,80,11,Late,0.958,2831.0,1.0,High,Yes,training invoice integration training pilot renewal invoice
ACC0010844,Growth,Manufacturing,SMB,EMEA,Hannah,2023-10-16 00:00:00,2024-03-18 00:00:00,157,85,4,78,12,Current,0.942,11509.0,0.541,Low,Yes,training renewal pilot training pilot invoice security invoice invoice security risk risk
ACC0031703,Pro,Education,SMB,LATAM,Hannah,2022-09-22 00:00:00,2023-05-12 00:00:00,84,134,0,11,6,Current,0.469,1821.0,1.0,Low,No,pilot risk risk procurement procurement renewal procurement training invoice procurement invoice
ACC0026144,Growth,Retail,SMB,North America,Marcus,2022-02-06 00:00:00,2022-12-21 00:00:00,43,27,4,13,1,Late,0.859,7912.0,0.628,High,No,security risk procurement seat-expansion renewal training pilot
ACC0006506,Growth,Media,SMB,EMEA,Elena,2023-12-17 00:00:00,2024-03-09 00:00:00,275,364,4,27,2,Current,0.432,18143.0,1.0,Low,No,invoice integration risk security training security training security integration security training
ACC0028230,Starter,Manufacturing,SMB,North America,Grace,2022-11-13 00:00:00,2023-02-16 00:00:00,17,183,3,11,12,Current,0.567,3009.0,1.0,Low,No,renewal renewal risk risk integration renewal risk risk seat-expansion renewal renewal
ACC0016879,Starter,Finance,SMB,North America,Elena,2024-04-02 00:00:00,2024-07-21 00:00:00,448,111,5,77,1,Current,0.705,10332.0,0.248,Low,Yes,risk seat-expansion renewal pilot pilot seat-expansion renewal security security
ACC0006216,Starter,Retail,Mid-Market,APAC,Elena,2022-05-03 00:00:00,2023-04-27 00:00:00,206,160,2,-32,5,Current,0.752,1693.0,0.777,Medium,No,security training security pilot integration procurement risk seat-expansion training invoice
ACC0006834,Starter,Retail,SMB,EMEA,Elena,2022-04-25 00:00:00,2022-07-23 00:00:00,374,38,2,94,2,Late,0.067,1466.0,0.102,High,No,renewal renewal risk security integration renewal renewal training
ACC0034423,Starter,Finance,SMB,APAC,Elena,2022-06-16 00:00:00,2022-12-25 00:00:00,190,273,5,-33,3,Current,0.694,2717.0,1.0,Medium,No,procurement invoice renewal procurement security pilot security risk renewal security
ACC0026931,Growth,Education,Mid-Market,EMEA,Elena,2023-08-09 00:00:00,2024-08-02 00:00:00,484,61,4,-47,4,Current,0.467,2674.0,0.126,High,No,training integration integration integration seat-expansion
ACC0032774,Pro,Manufacturing,SMB,APAC,Grace,2022-04-24 00:00:00,2023-03-24 00:00:00,435,367,4,62,4,Current,0.906,5510.0,0.844,Low,Yes,invoice seat-expansion renewal invoice seat-expansion renewal security
ACC0019116,Growth,Education,SMB,North America,Diego,2022-08-05 00:00:00,2022-10-20 00:00:00,383,309,3,4,3,Current,0.694,935.0,0.807,Low,No,pilot integration training renewal seat-expansion pilot integration renewal
ACC0034107,Growth,Media,SMB,EMEA,Marcus,2023-11-09 00:00:00,2024-09-16 00:00:00,155,140,7,24,9,Current,0.207,3366.0,0.903,Medium,No,pilot integration procurement integration procurement risk procurement integration seat-expansion invoice security
ACC0031472,Growth,Retail,SMB,North America,Diego,2022-09-23 00:00:00,2022-12-02 00:00:00,158,247,3,35,11,Current,0.541,2215.0,1.0,Low,No,pilot integration risk pilot invoice
ACC0025215,Enterprise,Manufacturing,Mid-Market,North America,Priya,2024-02-23 00:00:00,2024-10-29 00:00:00,189,144,4,-42,4,Current,0.251,5758.0,0.762,Medium,No,renewal pilot renewal integration renewal
ACC0006862,Starter,Media,SMB,North America,Priya,2022-10-09 00:00:00,2023-08-21 00:00:00,193,35,1,-42,1,Late,0.086,15411.0,0.181,Medium,No,renewal risk invoice security integration risk integration
ACC0013444,Growth,Healthcare,Mid-Market,North America,Diego,2022-08-24 00:00:00,2023-05-19 00:00:00,344,167,3,30,4,Current,0.194,1243.0,0.485,High,No,seat-expansion invoice risk integration integration procurement security procurement invoice risk procurement renewal
ACC0015345,Starter,Education,Mid-Market,North America,Elena,2022-12-18 00:00:00,2023-10-28 00:00:00,301,330,3,60,3,Current,0.257,1870.0,1.0,Low,No,procurement procurement risk integration renewal invoice procurement seat-expansion procurement
ACC0007266,Growth,Healthcare,Mid-Market,APAC,Marcus,2023-10-31 00:00:00,2024-07-29 00:00:00,353,56,4,95,12,Late,0.755,1457.0,0.159,High,Yes,invoice risk procurement procurement pilot procurement security
ACC0029538,Pro,Retail,SMB,North America,Marcus,2024-05-28 00:00:00,2025-05-27 00:00:00,165,29,2,25,3,Current,0.505,1062.0,0.176,Low,No,integration pilot security training seat-expansion pilot pilot training
ACC0031241,Enterprise,Healthcare,SMB,APAC,Hannah,2023-10-22 00:00:00,2024-07-16 00:00:00,65,375,3,-14,12,Current,0.402,2216.0,1.0,High,No,integration training integration pilot security integration integration training security
ACC0012261,Pro,Finance,Mid-Market,North America,Hannah,2023-11-08 00:00:00,2024-05-16 00:00:00,138,104,3,-24,5,Current,0.807,1215.0,0.754,High,No,training security seat-expansion integration security security renewal invoice security pilot
ACC0029000,Starter,Media,Enterprise,EMEA,Priya,2023-09-09 00:00:00,2024-08-04 00:00:00,209,48,3,28,11,Current,0.878,5177.0,0.23,Low,Yes,renewal security training integration risk
ACC0024517,Starter,Healthcare,SMB,EMEA,Hannah,2022-12-24 00:00:00,2023-04-24 00:00:00,40,121,1,18,7,Current,0.937,1273.0,1.0,Low,No,security seat-expansion risk security procurement procurement
ACC0007528,Pro,Healthcare,SMB,North America,Grace,2023-09-07 00:00:00,2024-01-23 00:00:00,268,17,2,27,3,Current,0.273,818.0,0.063,Low,No,security procurement invoice training invoice integration integration integration integration training renewal
ACC0007298,Pro,Education,SMB,EMEA,Marcus,2023-03-25 00:00:00,2023-11-20 00:00:00,96,66,3,-32,5,Current,0.18,3045.0,0.688,High,No,integration risk invoice renewal procurement seat-expansion procurement integration security risk
ACC0007629,Enterprise,Manufacturing,SMB,EMEA,Marcus,2023-12-31 00:00:00,2024-07-24 00:00:00,316,250,3,72,7,Current,0.442,11554.0,0.791,Low,No,invoice pilot pilot seat-expansion security training invoice invoice training
ACC0030530,Starter,Education,Mid-Market,North America,Marcus,2022-06-03 00:00:00,2022-10-19 00:00:00,141,31,2,34,12,Current,0.747,1103.0,0.22,Low,Yes,risk renewal renewal renewal training
ACC0014559,Starter,Education,Enterprise,APAC,Hannah,2022-12-14 00:00:00,2023-11-15 00:00:00,389,89,5,12,5,Current,0.275,3510.0,0.229,Low,No,integration integration procurement seat-expansion integration risk seat-expansion procurement risk renewal
ACC0006865,Starter,Finance,SMB,North America,Elena,2022-02-28 00:00:00,2022-09-27 00:00:00,62,269,0,-23,2,Current,0.63,694.0,1.0,High,No,procurement seat-expansion integration security pilot risk integration security procurement integration
ACC0034723,Pro,Media,SMB,North America,Marcus,2024-03-11 00:00:00,2024-04-13 00:00:00,336,9,4,3,3,Current,0.776,696.0,0.027,Low,No,risk integration integration renewal procurement invoice renewal
ACC0012381,Starter,Media,Mid-Market,North America,Elena,2023-12-05 00:00:00,2024-08-09 00:00:00,298,134,3,74,9,Current,0.935,1038.0,0.45,Low,Yes,seat-expansion renewal invoice training renewal risk invoice training
ACC0024473,Growth,Manufacturing,Enterprise,EMEA,Grace,2023-07-17 00:00:00,2023-10-11 00:00:00,74,354,2,48,12,Late,0.759,769.0,1.0,High,Yes,invoice seat-expansion invoice seat-expansion procurement invoice procurement risk security renewal seat-expansion pilot
ACC0033225,Growth,Media,SMB,North America,Diego,2022-07-10 00:00:00,2023-01-11 00:00:00,434,299,4,-34,12,Current,0.208,4803.0,0.689,Medium,No,training integration security training invoice integration training pilot
ACC0026477,Pro,Finance,Enterprise,EMEA,Elena,2023-09-30 00:00:00,2023-10-13 00:00:00,439,273,1,62,8,Current,0.463,1849.0,0.622,Low,No,seat-expansion seat-expansion pilot training pilot pilot pilot
ACC0027101,Pro,Media,Mid-Market,North America,Elena,2023-04-07 00:00:00,2024-02-26 00:00:00,202,184,3,20,5,Late,0.439,4037.0,0.911,High,No,renewal pilot security risk security risk invoice training security training risk security
ACC0026826,Pro,Education,Mid-Market,EMEA,Diego,2022-11-11 00:00:00,2022-11-23 00:00:00,439,242,2,-30,4,Current,0.49,612.0,0.551,High,No,seat-expansion integration seat-expansion risk risk security renewal
ACC0006593,Pro,Manufacturing,SMB,EMEA,Grace,2023-05-28 00:00:00,2024-01-01 00:00:00,239,231,2,-40,5,Current,0.193,8470.0,0.967,High,No,renewal invoice invoice training risk procurement invoice renewal risk security risk
ACC0036827,Pro,Retail,Enterprise,APAC,Elena,2022-05-10 00:00:00,2023-03-12 00:00:00,430,97,3,-2,12,Escalated,0.864,491.0,0.226,High,No,invoice renewal integration renewal seat-expansion integration invoice training pilot security
ACC0013200,Pro,Finance,Mid-Market,North America,Priya,2023-08-08 00:00:00,2023-09-02 00:00:00,252,286,1,21,5,Current,0.794,7260.0,1.0,Low,Yes,security invoice invoice invoice integration integration integration seat-expansion seat-expansion invoice pilot
ACC0021479,Pro,Healthcare,Mid-Market,North America,Marcus,2024-01-18 00:00:00,2024-09-01 00:00:00,35,59,1,84,11,Current,0.052,8112.0,1.0,High,No,pilot security pilot training seat-expansion invoice invoice pilot security security invoice seat-expansion
ACC0026318,Starter,Manufacturing,SMB,APAC,Elena,2022-10-17 00:00:00,2023-07-24 00:00:00,362,144,1,-48,10,Current,0.112,15701.0,0.398,High,No,procurement procurement pilot security invoice seat-expansion seat-expansion security
ACC0033729,Growth,Education,SMB,LATAM,Grace,2023-07-12 00:00:00,2024-02-06 00:00:00,261,57,2,-29,1,Current,0.185,1127.0,0.218,Medium,No,risk seat-expansion training integration invoice renewal seat-expansion
ACC0007367,Growth,Manufacturing,Enterprise,North America,Marcus,2024-06-05 00:00:00,2024-12-02 00:00:00,370,124,2,-11,5,Late,0.067,35065.0,0.335,High,No,training seat-expansion renewal procurement renewal pilot renewal training
ACC0037870,Growth,Education,SMB,LATAM,Marcus,2022-12-21 00:00:00,2023-08-24 00:00:00,452,142,5,70,12,Current,0.71,1761.0,0.314,Low,Yes,pilot training pilot security security training seat-expansion security renewal risk
ACC0011485,Pro,Media,Enterprise,LATAM,Grace,2022-04-19 00:00:00,2022-05-24 00:00:00,494,332,2,-31,10,Current,0.403,702.0,0.672,Medium,No,invoice procurement training pilot invoice invoice seat-expansion training
ACC0030632,Starter,Finance,SMB,APAC,Priya,2022-08-13 00:00:00,2023-08-09 00:00:00,476,219,4,28,1,Late,0.569,859.0,0.46,Medium,No,pilot training renewal pilot integration invoice seat-expansion security training seat-expansion pilot
ACC0015737,Starter,Retail,Mid-Market,EMEA,Priya,2022-11-07 00:00:00,2023-04-22 00:00:00,257,191,0,91,10,Current,0.33,1904.0,0.743,Low,No,procurement procurement security risk integration seat-expansion security risk training training procurement
ACC0007873,Pro,Retail,SMB,EMEA,Grace,2023-03-09 00:00:00,2023-10-06 00:00:00,264,66,5,63,6,Late,0.141,2312.0,0.25,Medium,No,risk procurement security invoice renewal procurement integration training invoice invoice
ACC0023975,Enterprise,Retail,Mid-Market,APAC,Grace,2022-06-02 00:00:00,2022-12-02 00:00:00,147,48,5,36,2,Current,0.137,1676.0,0.327,Medium,No,integration pilot risk renewal pilot invoice
ACC0007576,Starter,Education,Enterprise,APAC,Priya,2022-10-22 00:00:00,2023-05-06 00:00:00,265,160,1,92,8,Late,0.352,3529.0,0.604,Medium,No,security training pilot procurement renewal integration training invoice renewal pilot procurement pilot
ACC0007889,Starter,Retail,Enterprise,APAC,Hannah,2023-06-10 00:00:00,2023-09-05 00:00:00,18,93,1,33,10,Current,0.119,2992.0,1.0,High,No,security pilot risk risk renewal
ACC0023679,Enterprise,Finance,Mid-Market,LATAM,Priya,2022-03-27 00:00:00,2022-07-23 00:00:00,173,200,0,-26,10,Current,0.433,1293.0,1.0,High,No,seat-expansion invoice seat-expansion pilot pilot integration seat-expansion
ACC0020356,Enterprise,Education,Mid-Market,EMEA,Diego,2022-04-12 00:00:00,2022-07-16 00:00:00,472,366,5,34,1,Current,0.457,3076.0,0.775,Low,No,procurement integration procurement integration integration invoice pilot training integration
ACC0007959,Pro,Healthcare,SMB,North America,Grace,2023-11-21 00:00:00,2024-01-09 00:00:00,372,245,4,-25,4,Late,0.966,14660.0,0.659,High,No,seat-expansion integration risk invoice procurement
ACC0031049,Growth,Media,SMB,APAC,Grace,2024-06-14 00:00:00,2025-03-29 00:00:00,440,154,2,1,6,Current,0.346,3419.0,0.35,Low,No,integration security renewal pilot security procurement security invoice invoice security
ACC0025667,Growth,Retail,Mid-Market,APAC,Priya,2024-06-10 00:00:00,2024-09-29 00:00:00,437,214,5,-44,5,Current,0.144,1270.0,0.49,High,No,renewal procurement seat-expansion training renewal security integration procurement security integration
ACC0026875,Enterprise,Retail,Mid-Market,LATAM,Marcus,2024-03-16 00:00:00,2025-03-02 00:00:00,80,37,4,79,3,Current,0.837,9297.0,0.462,Low,No,risk procurement integration seat-expansion risk renewal renewal
ACC0006735,Growth,Healthcare,SMB,North America,Priya,2023-02-16 00:00:00,2023-03-12 00:00:00,165,144,2,-32,10,Current,0.807,6403.0,0.873,High,No,integration risk renewal risk training seat-expansion procurement invoice invoice
ACC0006773,Starter,Media,SMB,North America,Diego,2023-05-29 00:00:00,2024-02-13 00:00:00,235,35,3,83,4,Current,0.746,3251.0,0.149,Low,Yes,security renewal risk seat-expansion procurement invoice
ACC0006466,Enterprise,Retail,SMB,LATAM,Priya,2023-05-15 00:00:00,2023-07-01 00:00:00,424,246,7,65,4,Current,0.465,4610.0,0.58,Low,No,pilot invoice integration seat-expansion integration security invoice procurement security pilot
ACC0024903,Growth,Media,Mid-Market,APAC,Grace,2024-06-05 00:00:00,2024-06-12 00:00:00,124,91,4,54,7,Current,0.432,1426.0,0.734,Low,No,renewal security seat-expansion renewal risk
ACC0030539,Growth,Manufacturing,SMB,APAC,Diego,2022-11-10 00:00:00,2022-12-28 00:00:00,195,244,1,46,3,Current,0.309,1567.0,1.0,Low,No,security integration renewal invoice seat-expansion seat-expansion
ACC0007404,Starter,Education,Mid-Market,North America,Marcus,2022-01-12 00:00:00,2022-03-24 00:00:00,93,2,5,-18,2,Current,0.192,7076.0,0.022,High,No,seat-expansion integration risk security integration procurement training procurement procurement security
ACC0011093,Starter,Retail,Mid-Market,EMEA,Grace,2022-01-07 00:00:00,2022-05-22 00:00:00,481,192,0,-9,8,Current,0.724,5683.0,0.399,High,No,training renewal risk seat-expansion renewal security
ACC0021595,Growth,Media,SMB,North America,Diego,2024-02-17 00:00:00,2024-02-26 00:00:00,165,39,3,22,3,Current,0.908,1047.0,0.236,Low,Yes,seat-expansion invoice pilot pilot renewal renewal renewal training renewal pilot invoice seat-expansion
ACC0027498,Starter,Manufacturing,SMB,North America,Grace,2024-03-25 00:00:00,2024-10-18 00:00:00,142,335,1,15,4,Current,0.13,548.0,1.0,Medium,No,renewal pilot integration invoice pilot integration invoice training security
ACC0006243,Growth,Media,Mid-Market,EMEA,Priya,2022-07-23 00:00:00,2022-09-15 00:00:00,5,131,1,48,11,Current,0.548,2877.0,1.0,Low,No,security renewal security procurement procurement training renewal seat-expansion risk renewal training
ACC0020871,Pro,Healthcare,SMB,North America,Priya,2022-12-29 00:00:00,2023-07-17 00:00:00,249,28,3,58,4,Current,0.982,7731.0,0.112,Low,Yes,risk training procurement invoice pilot
ACC0021591,Starter,Media,SMB,LATAM,Hannah,2022-01-31 00:00:00,2022-03-25 00:00:00,107,28,7,-49,9,Late,0.326,1575.0,0.262,Medium,No,seat-expansion security seat-expansion security renewal renewal integration procurement procurement invoice risk
ACC0025503,Starter,Finance,SMB,LATAM,Hannah,2023-09-27 00:00:00,2023-10-04 00:00:00,331,333,6,98,6,Late,0.24,5262.0,1.0,Medium,No,pilot procurement seat-expansion integration security procurement procurement pilot
ACC0034528,Starter,Healthcare,SMB,North America,Grace,2024-01-15 00:00:00,2024-03-21 00:00:00,394,200,3,98,11,Current,0.646,3091.0,0.508,Low,No,seat-expansion seat-expansion procurement seat-expansion renewal pilot invoice seat-expansion seat-expansion procurement
ACC0006455,Growth,Finance,Mid-Market,LATAM,Elena,2022-03-12 00:00:00,2022-05-15 00:00:00,163,62,0,3,2,Current,0.4,1579.0,0.38,Low,No,seat-expansion training renewal training security training risk
ACC0006781,Starter,Education,SMB,LATAM,Marcus,2022-03-06 00:00:00,2022-03-23 00:00:00,249,112,3,40,9,Current,0.093,2784.0,0.45,Medium,No,risk invoice seat-expansion invoice seat-expansion invoice seat-expansion security
ACC0007269,Enterprise,Healthcare,Enterprise,North America,Diego,2022-04-30 00:00:00,2022-10-01 00:00:00,57,5,3,26,4,Late,0.253,11466.0,0.088,Medium,No,invoice training procurement invoice procurement
ACC0006830,Starter,Manufacturing,Mid-Market,North America,Grace,2022-12-30 00:00:00,2023-06-17 00:00:00,300,141,3,73,2,Current,0.739,3358.0,0.47,Low,Yes,invoice renewal renewal invoice procurement procurement risk
ACC0027876,Starter,Media,Mid-Market,APAC,Diego,2023-08-24 00:00:00,2024-06-12 00:00:00,9,22,5,10,9,Current,0.286,1796.0,1.0,Low,No,seat-expansion security procurement risk risk
ACC0011437,Starter,Finance,Mid-Market,North America,Hannah,2022-01-31 00:00:00,2022-10-27 00:00:00,205,286,2,37,12,Current,0.132,1690.0,1.0,Medium,No,procurement invoice risk integration pilot security
